Year,Table_Entry,Fragment,Lead
2022,1,Nc1cc(c[nH]c1=O)C(F)(F)F,N[C@H]1CCN(Cc2cccc(c2)c3ccc4c(=O)[nH]ccc4c3)C1
2022,2,CN1C[C@@H](O)[C@H](C1=O)c2ccc(C)cc2,COc1ccc(CN2C[C@H](O)[C@](CCC(C)C)(C2=O)c3ccc(cc3O[C@@H](C)CO)S(=O)(=O)C)cc1
2022,3,Fc1cncc(c1)N2C(=O)N[C@@H](Cc3ccccc3)C2=O,Clc1ccccc1C2CC3(C2)NC(=O)N(C3=O)c4cncc5ccccc45
2022,4,c1ccc(cc1)c2ccccc2c3nnn[nH]3,Cc1ccc(cc1)c2cccc(c2c3nnn[nH]3)S(=O)(=O)N
2022,5,CN(C)C(=O)C(N)Cc1ccc(F)cc1,Clc1ccc(cc1)[C@H]2CN[C@H](C2)C(=O)N3CCN(CC3)c4nccc5ccsc45
2022,6,NCc1n[nH]c(=O)c2ccccc12,Cn1ncc(c1c2c(F)c(Cl)cc(OC3CC3)c2C#N)c4ccc5c(=O)[nH]nc(CN)c5c4
2022,7,Cn1c(N)nc2cccc(Cl)c12,Cn1c(N)nc2cc(Cc3ccccc3C#N)cc(C#N)c12
2022,8,Cc1cc(N)nc2cccnc12,Cc1cc(N)nc2cc(CNC(=O)c3ccccc3)cnc12
2022,9,c1c[nH]cn1,COc1cc(Cn2cnc3cc(ccc23)c4nnc(N)s4)ccc1OCCCN5CCCCC5
2022,10,Cc1c(Cl)nc(nc1Cl)C2CC2,Cc1nnc(CNc2cc(OC[C@H]3C[C@@H]3c4ccc(C)cn4)nc(C)n2)s1
2022,11,Nc1ncncc1C#N,Nc1ncnc(c2cnn(Cc3ccc(F)c(F)c3)c2)c1C#N
2022,12,OC(=O)c1ccccc1Nc2cccc(c2)C(F)(F)F,FC(=C)C(=O)N1C[C@@H](OCc2ccc(cc2)C(F)(F)F)[C@@H](C1)n3cc(nn3)c4cccnc4
2022,13,Nc1sc2CCCCc2c1C#N,C[C@H]1CN(C)CCN1c2cc(cc(n2)c3noc(n3)[C@@]4(C)CCCc5sc(N)c(C#N)c54)N6CCN(CC6)C(=O)C=C
2022,14,NC(=O)c1cccc2C(=O)c3ccccc3-c21,CN(C)c1cccc(c1)S(=O)(=O)NCc2cccc(c2)[C@@H](NC(=O)c3cccc4C(=O)c5ccccc5-c43)C(=O)O
2022,15,OC(=O)c1cnc2n(ncc2c1)C3CCCC3,Cn1cc2c(n1)n(c3ccc(cc3)C(F)(F)F)c4ncc(cc24)C(=O)O
2021,1,COc1ccc(cc1)C2CC(=O)NCCS2,COc1ccc(NC(=O)C[C@@H]2SCCNC2=O)cc1
2021,2,Nc1ncnc2[nH]cnc12,C[C@@H]1CCCN1c2c(C#N)c3c(N)nc(Nc4cnn([C@H]5CCOC5)c4C)nc3n2C
2021,3,Cc1c[nH]c2ncc(cc12)c3c[nH]c4C(=O)NCc34,Fc1ccccc1Cc2c[nH]c3ncc(cc23)c4cnn(c4)C5CCNCC5
2021,4,FC(F)(F)c1cccc2[nH]ncc12,COc1ccc(cc1)n2cc(cn2)c3n[nH]c4cc(Cl)c(N[C@@H]5CCNC5)cc34
2021,5,Cn1c(Br)c(C#N)c2c(N)ncnc12,Cc1nc(NCc2c(F)cccc2F)c3c(c[nH]c3n1)c4ccnc(N)c4
2021,6,COc1ccc(cc1)c2cc(N)nc(N)n2,Cc1nc2ccc(nc2n1CCOc3ccccc3)c4cc(N)nc(N)c4
2021,7,O=C1Cc2ccccc2N1,CNc1cccc2c1NC(=O)C2(C)C
2021,8,O=c1[nH]nc([nH]1)c2ccccc2,C=CC(=O)N1CC[C@@H](C1)Oc2nc(cc3ccccc23)c4n[nH]c(=O)[nH]4
2021,9,Oc1ccc(cc1)c2ccc3cn[nH]c3c2,Oc1ccc(cc1)c2ccc3c(n[nH]c3c2)c4ccc(cc4)N5CCNCC5
2021,10,Nc1ncnc2[nH]ncc12,COCCCn1nc(c2ccc(CC(=O)Nc3cc(on3)C(C)(C)C)cc2)c4c(N)ncnc14
2021,11,NC(=S)c1cccc(c1)n2cccc2,CN1CC(C1)C(=O)NCc2ccc3c(cn(C4CCC(CC4)S(=O)(=O)C(F)(F)F)c3c2)c5cccc(c5)C(=S)N
2021,12,CCc1c(C)nc(N)nc1N2CCOCC2,Nc1nc(NC2CC2)cc(n1)N3CCCCC3
2021,13,OCc1ccc(Oc2ccccc2)cc1,N[C@@H](CC(=O)O)Cn1nnc(n1)c2ccc(Oc3ncc(Cl)cc3F)cc2
2021,14,CCOc1nc(nc(=O)[nH]1)N(C)C,CN(C)c1nc(=O)n(c2ccccc2)c3cc(Cl)ccc13
2021,15,Cc1nn2c(=O)cc(C)[nH]c2c1c3ccccc3,COc1ccc(cc1)c2c(Nc3ccccn3)[nH]c4c(C5=CCCCC5)c(nn4c2=O)c6ccccc6
2021,16,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,Cc1c(Cl)c(Nc2ccccc2N(=O)=O)c(Cl)cc1Nc3ccncc3C(=O)NNC(=O)/C=C/C(=O)O
2021,17,Cc1cccc2cc([nH]c12)C(=O)N[C@H]3CC[C@H](N)CC3,CN([C@H]1CCN(C1)[C@H]2CCC[C@H](C2)NC(=O)c3cc4c(F)ccc(C)c4[nH]3)S(=O)(=O)C
2021,18,CCC(=O)c1c[nH]c(c1)C(=O)NC,CNC(=O)c1cc(C(=O)N[C@H]2CC[C@H](O)CC2)c(o1)[C@@H](C)c3ccccc3
2021,19,CNc1cc(nc(n1)S(=O)(=O)C)c2ccccc2,CN(C)CCCn1ccc2cc(ccc12)c3nc(nc4[nH]ccc34)S(=O)(=O)C
2021,20,CC(C)(C)c1ccc(s1)C(=O)N2CCCC2,O=C(Nc1ccc(s1)C(=O)N2CC(C2)c3nc4ccccc4s3)[C@@H]5C[C@H](CN5)OCCCCO[C@H]6CN[C@@H](C6)C(=O)Nc7ccc(s7)C(=O)N8CC(C8)c9nc%10ccccc%10s9
